,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
HID1,-0.31,0.52,-0.21,0.28,0.22,0.40,-0.41,0.61,-0.54,0.91,-0.16,0.25
MFSD10,-0.20,0.84,-0.45,1.68,-0.54,1.28,-0.43,1.54,-0.24,0.92,-0.97,2.63
GM2A,-0.11,0.09,-0.19,0.17,0.08,0.05,-0.27,0.22,-0.34,0.32,-0.09,0.07
CIZ1,0.56,1.04,0.50,1.19,0.68,1.43,0.45,1.16,-0.03,0.04,0.31,0.81
LMAN2L,0.51,0.90,0.21,0.37,0.18,0.33,-0.11,0.12,-0.26,0.42,-0.12,0.20
CD99,-0.02,0.03,0.16,0.32,0.57,0.89,-0.24,0.44,-0.08,0.11,-0.16,0.26
GABPB1,-0.36,0.40,-0.51,0.57,-0.66,0.76,-0.55,0.64,-0.66,0.74,-0.39,0.43
MAPK9,-0.59,1.71,-0.34,0.92,-0.31,1.17,0.05,0.13,0.03,0.08,-0.01,0.03
UFM1,-0.47,0.90,-0.20,0.42,-0.43,0.98,-0.13,0.24,-0.37,0.74,-0.52,1.21
ISG15,-0.13,0.10,-0.39,0.31,-0.18,0.14,-0.50,0.40,-0.70,0.55,-0.35,0.28
MACO1,0.77,2.06,0.96,2.02,0.09,0.13,0.20,0.30,0.11,0.17,0.01,0.01
CNNM3,0.16,0.20,-0.38,0.61,0.00,0.00,-0.11,0.16,-0.56,0.83,-0.08,0.09
NFIX,-0.23,0.36,-0.43,0.72,-0.63,1.14,0.36,0.65,0.23,0.42,-0.33,0.60
CLASRP,0.27,0.98,0.15,0.86,0.31,1.49,0.25,0.86,0.30,1.13,-0.09,0.42
PHF8,0.07,0.26,-0.04,0.13,0.26,1.02,-0.06,0.20,-0.06,0.16,0.13,0.37
MEAF6,-0.49,0.57,-0.35,0.33,-0.30,0.35,-0.45,0.51,-0.56,0.66,-0.16,0.18
TPD52L1,-0.38,0.33,-0.24,0.20,0.34,0.35,0.20,0.19,0.08,0.07,0.16,0.15
WDR45B,0.36,1.18,0.39,1.05,0.32,1.17,0.35,0.97,0.42,0.91,0.42,1.41
CDCA3,0.59,0.69,0.32,0.39,0.22,0.15,-0.14,0.11,-0.04,0.03,0.40,0.41
SNF8,0.09,0.27,0.04,0.14,-0.28,1.05,-0.01,0.02,-0.03,0.09,-0.01,0.03
SLC25A33,-0.01,0.01,-0.35,1.10,0.11,0.19,-0.09,0.14,-0.48,0.86,0.20,0.30
FCHO2,-0.19,0.23,-0.05,0.08,0.44,0.34,0.18,0.63,-0.06,0.19,-0.06,0.21
CRTC2,-0.05,0.11,0.57,0.58,0.63,0.35,0.44,0.47,0.38,0.30,0.58,1.10
VKORC1,0.00,0.01,0.13,0.35,-0.27,0.72,0.02,0.06,-0.17,0.44,-0.11,0.27
ZNF330,0.13,0.26,0.00,0.00,0.34,0.43,0.34,0.98,0.36,0.61,0.28,0.93
SUMO1,-0.03,0.04,0.06,0.10,0.01,0.01,0.05,0.09,-0.17,0.26,0.04,0.06
MRPL34,0.02,0.03,-0.24,0.47,0.17,0.35,0.15,0.22,-0.04,0.06,-0.03,0.04
ATP11C,0.12,0.20,0.18,0.33,-0.01,0.01,0.33,0.68,0.14,0.20,-0.35,0.48
COA4,0.10,0.25,-0.37,0.90,0.08,0.17,0.02,0.04,0.10,0.21,-0.18,0.49
SUDS3,0.06,0.08,0.30,0.53,-0.03,0.03,-0.10,0.14,-0.26,0.39,-0.18,0.24
RRAGB,-0.05,0.09,0.02,0.05,0.02,0.05,-0.09,0.22,-0.07,0.24,0.17,0.67
WDR83,0.08,0.10,0.14,0.19,0.04,0.05,0.09,0.16,-0.05,0.09,0.27,0.49
GGCX,0.23,0.37,0.15,0.16,-0.08,0.12,-0.38,0.57,-0.19,0.26,-0.68,0.68
DMAC2,0.21,0.31,0.16,0.22,0.23,0.34,0.17,0.22,0.23,0.30,0.34,0.53
PHF20L1,-0.18,0.18,-0.08,0.05,0.04,0.04,-0.10,0.09,-0.17,0.14,-0.13,0.11
GTPBP8,-0.20,0.77,0.09,0.40,0.50,1.94,0.22,1.01,0.07,0.22,-0.09,0.33
TSTD1,-0.85,2.29,-0.94,2.32,-0.77,2.23,-0.49,1.58,-0.08,0.25,-0.53,1.68
AP2S1,0.00,0.00,0.13,0.31,0.16,0.53,-0.04,0.07,-0.07,0.13,-0.03,0.06
FOSL1,0.26,0.48,-0.20,0.51,0.70,1.98,0.22,0.83,0.46,1.17,0.35,1.82
NSMCE4A,0.01,0.02,0.32,1.07,-0.14,0.33,0.13,0.33,0.38,1.26,0.20,0.54
LRRC42,0.52,0.96,0.39,0.80,0.00,0.00,-0.21,0.38,0.00,0.00,0.33,0.80
ESCO2,-0.38,1.45,-0.57,2.05,-0.05,0.07,-0.08,0.21,0.07,0.09,-0.28,0.57
MID1IP1,-1.05,2.07,-0.94,2.64,0.32,1.09,0.17,0.42,-0.43,1.30,0.28,0.80
CDKN2AIPNL,-1.36,1.09,-0.48,0.48,-0.51,0.49,-0.57,0.55,-0.60,0.59,-1.43,1.13
C2orf49,-0.37,0.33,-0.33,0.29,-0.46,0.44,-0.21,0.19,-0.61,0.57,-0.37,0.34
APOBEC3C,0.22,0.64,0.30,1.18,-0.02,0.07,0.33,0.89,0.23,0.79,0.43,1.42
RBIS,0.70,2.95,-0.07,0.16,0.41,1.25,-0.04,0.05,-0.06,0.08,0.38,1.43
POLE3,1.14,1.27,0.94,0.97,1.18,1.29,1.17,1.32,0.97,0.91,1.14,1.26
MSRA,-0.38,0.91,-0.21,0.54,-0.38,1.21,-0.07,0.17,-0.30,0.54,-0.33,0.66
TRNAU1AP,0.14,0.35,0.14,0.39,0.33,0.80,0.58,1.02,-0.23,0.47,0.14,0.30
AMPD3,-0.02,0.05,-0.53,1.35,0.21,0.40,-0.24,0.74,-0.05,0.13,0.04,0.13
MED20,0.24,0.59,-0.04,0.09,0.44,1.38,0.11,0.24,-0.04,0.09,0.07,0.15
EYA3,-0.40,1.22,-0.22,0.70,-0.37,1.11,-0.20,0.45,-0.33,0.86,0.09,0.22
CHMP1B,-0.42,1.07,-0.16,0.35,0.12,0.34,0.32,0.81,-0.41,0.97,0.26,0.88
DCAF16,-0.47,2.61,-0.58,2.00,-0.63,3.05,0.03,0.10,-0.34,1.29,0.10,0.27
ANKLE2,-0.63,2.62,-0.34,1.91,-0.21,0.88,-0.38,1.90,-0.25,0.66,-0.26,1.81
GDPD1,-0.54,2.80,-0.55,1.75,0.15,0.51,-0.01,0.02,-0.38,2.20,0.01,0.03
NCKIPSD,-0.31,1.09,-0.52,1.63,-0.01,0.03,0.00,0.01,0.03,0.08,-0.13,0.38
BRI3BP,-0.33,0.54,-0.55,0.92,-0.13,0.19,-0.21,0.33,-0.24,0.39,-0.12,0.18
TTC14,0.27,0.43,0.26,0.55,-0.02,0.03,0.13,0.25,0.03,0.04,0.40,0.87
PLP2,0.19,0.40,0.16,0.52,0.40,1.63,0.28,1.11,0.35,0.74,0.32,0.75
SLC20A1,0.24,0.61,-0.07,0.13,0.10,0.20,-0.22,0.33,-0.06,0.12,0.47,1.44
BIRC5,0.66,1.26,0.52,0.69,0.55,1.03,0.39,0.45,0.57,0.95,0.71,1.27
ZNF593,0.86,2.70,0.15,0.70,0.44,1.11,0.08,0.33,0.43,0.75,0.58,1.67
ZNF768,0.00,0.01,0.23,0.53,0.40,0.85,0.17,0.28,-0.19,0.43,0.13,0.28
TSC22D2,-0.61,0.76,-0.06,0.05,-0.43,0.62,-0.66,0.82,-0.57,0.74,-0.53,0.77
ICMT,-0.18,0.76,-0.27,1.23,-0.26,0.79,-0.18,1.13,-0.22,1.51,-0.04,0.29
DHRS7B,-0.31,1.36,-0.49,1.92,0.08,0.23,-0.20,1.14,-0.41,2.97,-0.45,1.80
OGFOD3,-0.38,0.56,-0.59,0.84,-0.48,0.69,-0.13,0.20,-0.64,1.01,-0.59,0.95
RBM24,0.66,1.50,0.80,2.37,0.43,1.56,0.37,1.56,-0.06,0.23,0.32,0.97
CST3,0.38,0.95,0.07,0.16,0.15,0.28,0.05,0.07,0.16,0.27,0.07,0.12
MRPS6,-1.29,1.95,-1.18,2.08,-0.72,1.39,-0.89,1.55,-0.60,1.04,-0.94,1.65
FMNL2,-0.23,1.42,0.03,0.13,-0.01,0.02,0.39,2.02,-0.28,1.59,-0.07,0.21
ZCCHC17,0.24,0.20,0.16,0.19,-0.05,0.05,-0.48,0.47,0.01,0.01,0.03,0.04
AFF4,0.63,1.97,0.52,0.77,0.19,0.42,0.12,0.37,0.09,0.11,0.52,2.28
PSMG3,-0.79,0.84,-0.77,0.83,-0.44,0.50,-0.30,0.33,-0.46,0.53,-0.46,0.52
NDUFAF1,-0.37,0.55,-0.35,0.58,0.15,0.27,-0.07,0.09,-0.21,0.40,-0.31,0.57
CYB5R1,-0.27,0.36,0.16,0.22,-0.68,0.98,-0.56,0.70,-1.23,1.42,-0.95,1.20
SF3B5,-0.24,0.65,-0.23,0.64,-0.29,0.88,-0.11,0.29,-0.09,0.16,0.01,0.02
CRAD,-0.39,0.44,0.13,0.24,0.26,0.23,-0.03,0.03,-0.43,0.47,-0.16,0.16
BRMS1,-0.27,0.34,-0.11,0.16,-0.36,0.49,-0.26,0.26,-0.69,0.96,-0.41,0.60
DHCR24,-0.82,1.72,-0.63,1.58,0.09,0.21,-0.78,1.54,-1.13,1.99,-0.69,1.39
CREB1,-0.25,0.59,-0.10,0.23,-0.19,0.55,-0.08,0.16,-0.41,1.04,-0.12,0.31
ACAD10,-0.73,1.64,-0.51,1.46,-0.63,1.73,0.26,0.75,-0.78,1.88,-0.56,1.55
ASB6,1.04,1.19,0.75,0.68,0.91,0.95,0.87,0.87,0.56,0.49,0.97,1.04
VPS72,0.46,1.30,0.49,1.24,0.38,0.69,0.44,1.54,0.30,0.71,0.46,0.92
AXL,0.26,0.23,-0.31,0.32,-0.24,0.26,-0.07,0.06,0.06,0.05,-0.23,0.25
SINHCAF,0.61,1.20,0.18,0.39,0.32,0.95,0.26,0.79,-0.11,0.25,0.34,0.91
MYADM,0.86,1.99,0.33,0.44,0.07,0.08,0.05,0.14,0.09,0.15,0.33,0.66
EIF4E2,-0.20,0.32,-0.12,0.25,0.04,0.07,-0.24,0.58,0.02,0.03,0.04,0.07
C5orf24,-0.18,0.33,-0.27,0.58,-0.29,0.68,0.11,0.25,-0.34,0.74,0.20,0.53
SUMO2,0.46,3.94,0.49,3.33,0.32,1.55,0.29,2.11,0.28,1.29,0.50,2.34
SKA1,-0.16,0.16,-0.07,0.07,-0.24,0.25,-0.14,0.13,-0.62,0.63,-0.11,0.11
IFRD2,-0.17,0.30,-0.57,0.93,0.18,0.32,-0.17,0.27,-0.06,0.08,-0.18,0.28
PEA15,0.53,2.07,0.22,0.84,0.50,1.69,0.07,0.21,-0.01,0.03,0.20,0.63
MOSPD1,0.33,0.36,-0.36,0.55,0.83,1.30,-0.07,0.10,0.22,0.32,-0.06,0.08
SIRT6,-0.05,0.08,-0.07,0.11,-0.01,0.01,0.18,0.36,0.18,0.32,0.22,0.42
SLC27A6,-0.28,0.85,-0.66,1.69,0.11,0.16,-0.27,0.72,-0.24,0.49,-0.24,0.36
GLMN,-0.26,1.20,-0.25,1.65,0.41,2.00,-0.12,1.44,-0.61,2.63,-0.33,1.78
RNF220,0.06,0.13,0.22,0.37,0.15,0.37,0.19,0.64,-0.05,0.13,0.08,0.10
ZNF384,0.08,0.09,0.27,0.32,0.21,0.34,-0.16,0.43,-0.05,0.05,0.00,0.00
HMG20A,0.16,0.33,0.53,1.63,0.28,0.62,0.51,0.68,0.11,0.18,0.36,1.02
PTPMT1,-0.86,2.43,-0.77,2.13,-0.30,1.10,-0.40,1.27,-0.80,2.02,-0.53,1.75
ACSF2,0.17,0.54,0.56,1.92,0.21,0.66,-0.12,0.30,0.11,0.27,-0.59,1.74
PARS2,-0.48,0.65,-0.52,0.64,-0.31,0.36,-0.44,0.52,-0.29,0.27,-0.58,0.74
ORC4,-0.53,0.64,-0.25,0.34,-0.27,0.39,-0.46,0.66,-0.34,0.49,-0.18,0.26
ARHGAP27,-0.02,0.10,-0.04,0.13,0.33,1.46,-0.03,0.19,-0.46,2.30,0.04,0.05
FIS1,-0.56,2.08,-0.32,1.64,-0.50,1.45,-0.20,0.91,-0.35,0.88,-0.53,1.84
NFRKB,0.14,0.24,0.23,0.51,0.67,1.77,0.40,1.02,-1.58,2.17,0.15,0.35
RALGAPB,0.58,0.47,0.70,0.62,0.92,1.21,0.85,1.03,0.72,0.82,0.55,0.73
COQ6,0.01,0.01,-0.03,0.03,-0.38,0.68,0.12,0.17,-0.48,0.66,-0.01,0.02
DENND6A,-0.18,0.13,0.17,0.19,0.30,0.39,0.25,0.18,0.31,0.33,-0.44,0.37
APLP2,0.19,0.58,0.06,0.11,0.28,1.01,-0.18,0.27,-0.23,0.36,0.01,0.03
SCAMP4,-0.36,0.97,-0.40,1.17,-0.37,1.05,-0.26,0.60,-0.27,0.75,-0.29,0.85
PKN3,0.20,0.48,-0.09,0.25,0.20,0.78,0.13,0.22,0.06,0.06,0.35,0.80
R3HDM1,-0.29,0.21,-0.26,0.19,0.13,0.07,-0.24,0.18,-0.36,0.22,-0.06,0.03
DPY30,0.10,0.15,0.15,0.32,0.15,0.31,0.08,0.14,0.18,0.35,0.25,0.58
UGT8,-0.63,0.54,-0.76,0.73,-0.47,0.43,-0.80,0.74,-0.23,0.22,-0.65,0.59
RAD9A,0.27,0.35,-0.04,0.06,0.21,0.32,0.29,1.05,0.08,0.20,0.04,0.09
NAA20,0.22,0.46,0.24,0.94,0.31,1.23,0.13,0.53,-0.03,0.09,0.11,0.40
AHSG,1.15,0.81,0.91,0.52,0.14,0.20,0.79,0.97,0.76,0.63,0.67,0.85
DPH7,-0.08,0.39,0.09,0.45,0.04,0.20,-0.01,0.04,0.18,0.74,0.29,1.42
MRPS18C,-0.51,1.38,-0.43,0.90,0.04,0.11,-0.05,0.12,-0.07,0.11,-0.20,0.54
SAP30,-0.43,1.56,-0.03,0.10,-0.15,0.61,-0.18,1.35,-0.25,1.17,0.15,0.35
IFT140,-0.38,0.30,0.21,0.19,-0.28,0.26,0.11,0.09,0.16,0.14,-0.30,0.24
SCD5,0.73,3.58,0.52,3.70,0.22,1.32,0.21,1.41,0.37,1.83,0.23,1.78
CYP2S1,0.62,1.23,-0.11,0.22,0.29,0.52,-0.01,0.02,-0.09,0.15,0.04,0.04
MICAL1,0.67,0.59,0.01,0.03,0.37,0.43,0.23,0.28,-0.16,0.37,-0.28,0.33
KLF16,0.45,0.60,0.21,0.44,0.42,0.66,-0.09,0.15,-0.05,0.06,0.08,0.08
ERICH5,0.49,0.81,0.71,1.00,0.93,0.98,-0.08,0.08,0.27,0.27,0.29,0.32
MGAT1,0.40,1.04,-0.13,0.18,0.46,1.20,-0.03,0.07,0.29,0.58,0.50,1.23
PISD,0.08,0.39,-0.32,1.97,0.08,0.35,0.16,0.73,-0.19,0.77,-0.01,0.04
MT-ND5,-0.10,0.23,-0.15,0.50,-0.15,0.70,0.10,0.40,-0.26,1.13,-0.21,0.88
ENY2,-0.15,0.33,-0.19,0.50,-0.24,0.62,0.13,0.37,-0.70,1.26,-0.02,0.03
TSPO,-0.72,1.86,-0.36,1.25,-0.46,1.15,-0.44,1.30,-0.32,0.76,-0.58,1.64
ACYP2,-0.07,0.02,0.18,0.07,-0.51,0.22,0.39,0.18,0.20,0.08,0.62,0.25
STK11IP,0.62,1.12,0.56,1.17,0.36,0.37,0.10,0.12,0.37,0.35,0.05,0.04
TMEM199,0.25,0.53,-0.02,0.03,0.36,0.86,-0.09,0.16,-0.37,0.62,0.46,1.10
ACAD11,-0.49,1.32,-0.09,0.16,0.72,3.10,0.11,0.21,-0.53,1.29,-0.56,1.33
KCTD14,0.39,1.24,0.20,0.41,0.24,0.62,0.23,0.41,-0.13,0.18,0.37,0.73
ARPIN,0.29,0.31,0.39,0.44,0.03,0.02,0.32,0.36,-0.08,0.06,0.22,0.20
MAD2L1BP,0.14,0.25,0.29,0.49,0.15,0.28,0.15,0.32,-0.22,0.46,0.20,0.33
ERLEC1,0.03,0.04,-0.07,0.11,-0.11,0.16,0.01,0.02,-0.13,0.16,-0.18,0.28
DHRS3,-0.52,1.01,-0.82,1.42,0.15,0.26,-0.06,0.07,-0.22,0.30,-0.76,1.18
CDH3,-1.22,1.93,-1.70,2.22,0.05,0.09,-0.36,0.74,-1.32,1.80,-0.21,0.35
CCDC71L,-0.19,0.15,-0.06,0.05,-0.09,0.08,0.41,0.41,0.05,0.04,-0.05,0.04
EPB41L5,-0.28,0.64,0.09,0.15,0.44,1.37,-0.35,0.39,-0.83,1.62,-0.22,0.47
JAGN1,-0.58,2.17,-0.64,2.30,-0.27,1.07,-0.37,1.66,-0.53,2.10,-0.14,0.43
ITPRIP,0.60,0.65,0.52,0.75,0.24,0.25,0.22,0.28,-0.27,0.33,-0.05,0.04
PRKAB1,0.36,0.72,0.81,1.37,0.53,1.09,0.40,0.41,0.48,0.94,0.39,0.49
MRPS14,-0.04,0.12,-0.18,0.52,0.16,0.78,0.06,0.20,0.08,0.30,-0.10,0.31
MTM1,0.64,0.70,0.52,1.05,0.44,1.01,0.25,0.54,0.38,0.67,0.32,0.60
MRS2,0.20,0.21,-0.10,0.12,-0.03,0.04,0.40,0.40,0.33,0.45,0.45,0.79
KHNYN,-0.40,0.63,-0.09,0.10,0.02,0.03,0.15,0.31,-0.39,0.71,0.10,0.13
COA1,0.15,1.75,0.11,1.03,-0.02,0.08,0.19,0.73,0.40,1.04,-0.03,0.12
SRSF8,0.39,0.71,0.11,0.22,0.22,0.61,0.33,0.81,0.13,0.23,0.66,1.42
RPS29,0.11,0.24,0.04,0.09,0.16,0.38,0.00,0.00,0.20,0.43,0.12,0.21
TAF10,0.07,0.14,0.24,0.46,0.01,0.01,0.13,0.29,-0.11,0.19,0.02,0.03
CD151,0.03,0.04,-0.21,0.33,-0.28,0.75,-0.15,0.29,-0.36,0.85,-0.38,0.70
MSL2,0.26,0.53,-0.01,0.02,-0.13,0.29,0.15,0.35,0.07,0.11,0.17,0.35
SMAP2,0.03,0.04,-0.03,0.03,-0.01,0.01,-0.21,0.23,-0.40,0.78,-0.23,0.34
DNA2,0.25,0.36,0.18,0.21,0.19,0.20,-0.15,0.14,0.19,0.22,0.35,0.31
NDUFB5,0.35,0.87,0.20,1.24,0.23,1.06,0.30,1.84,0.37,1.63,0.30,1.78
LENG1,0.67,0.88,0.74,0.95,0.36,0.38,0.42,0.50,-0.38,0.33,0.05,0.04
ROMO1,0.22,0.80,-0.01,0.03,0.21,0.91,-0.05,0.11,-0.11,0.26,0.09,0.29
ALAS1,0.66,0.85,0.44,0.63,0.82,1.21,0.29,0.36,0.54,0.62,0.66,1.02
CHTF8,-0.37,0.30,-0.66,0.57,-0.21,0.19,-0.21,0.18,-0.04,0.04,-0.17,0.15
MRPL10,-0.08,0.05,-0.18,0.13,0.18,0.14,-0.03,0.02,0.19,0.19,0.01,0.01
SYVN1,-0.23,0.93,-1.06,2.78,-0.22,0.89,-0.26,1.05,-0.51,1.91,-0.18,0.66
SPC25,-0.24,0.61,0.02,0.11,-0.14,0.30,0.19,1.17,-0.19,1.31,0.13,0.39
MICU2,0.42,0.48,0.70,1.19,0.45,0.95,0.51,0.83,0.35,0.44,0.62,0.88
CKAP2L,0.64,2.78,0.43,0.81,0.42,1.52,0.41,1.25,0.27,0.43,0.52,1.62
TMED1,-0.01,0.07,0.08,0.64,0.04,0.17,0.15,0.61,-0.53,2.64,-0.06,0.46
UBE2E3,0.41,1.16,0.74,2.56,0.16,0.62,0.17,0.48,-0.25,0.75,0.32,0.83
COMMD6,0.34,0.31,0.08,0.07,0.72,0.60,0.36,0.40,-0.04,0.03,0.05,0.04
EEF1E1,-0.66,0.94,-0.83,1.31,-0.25,0.41,-0.58,0.92,-0.59,0.95,-0.58,0.88
SCAMP2,0.30,1.28,0.22,0.46,0.40,1.84,0.29,1.14,-0.21,0.54,0.19,0.33
RHBDD2,-0.79,0.74,0.00,0.00,-0.30,0.23,-0.17,0.15,-0.33,0.31,0.53,0.68
INPP1,0.35,1.87,0.23,0.66,0.27,1.26,-0.10,0.59,0.49,2.12,0.40,1.83
ASB3,0.36,0.87,0.43,0.93,0.34,0.54,0.21,0.34,-0.02,0.02,0.31,0.78
RBM23,0.05,0.05,-0.03,0.03,0.13,0.17,-0.19,0.16,-0.09,0.11,-0.29,0.59
CBX6,-0.56,2.47,-0.04,0.10,0.27,1.58,0.15,0.31,-0.06,0.10,0.16,1.26
PRCP,0.43,1.15,-0.04,0.10,0.10,0.22,0.16,0.41,0.13,0.33,0.17,0.33
AP1S3,-0.21,0.39,-0.08,0.14,-0.26,0.50,-0.22,0.41,-0.24,0.50,-0.23,0.47
CTSA,0.21,0.16,-0.42,0.29,-0.58,0.40,-0.51,0.35,-0.64,0.44,-0.52,0.36
RAB25,-2.20,4.00,-3.44,4.59,0.09,0.26,-0.53,1.89,-2.01,4.20,0.11,0.28
MALSU1,-0.35,3.87,-0.39,3.80,0.14,0.87,-0.14,1.54,-0.28,2.08,-0.21,1.04
PRPF39,-0.12,0.25,0.01,0.01,0.07,0.13,0.48,0.88,-0.19,0.38,0.30,0.84
CISD3,-0.10,0.16,-0.17,0.31,-0.07,0.16,0.15,0.24,0.41,0.57,-0.02,0.02
TPP1,0.39,1.92,0.20,0.97,0.09,0.49,0.09,0.33,0.09,0.35,-0.67,2.33
GLTP,-0.46,2.20,-0.45,2.42,-0.16,1.49,-0.18,2.66,-0.59,3.98,-0.27,1.19
COA3,0.64,0.46,0.67,0.54,0.39,0.27,0.45,0.32,0.29,0.19,0.26,0.19
ALG13,0.18,0.90,0.12,0.36,-0.09,0.37,0.00,0.01,0.02,0.05,-0.30,0.85
SAC3D1,0.33,1.00,0.10,0.40,0.41,1.26,0.34,0.73,0.25,0.58,0.37,1.06
PIK3CB,-0.22,0.37,0.03,0.03,0.27,0.42,-0.02,0.02,0.20,0.32,0.29,0.39
KLHL26,0.42,0.68,0.58,0.91,0.69,0.98,0.44,0.74,0.53,1.24,0.87,0.69
TIMM8B,-0.15,0.67,-0.47,1.43,0.43,1.65,-0.12,0.47,0.23,0.74,0.17,0.78
DPM3,-0.21,0.71,-0.24,0.95,-0.26,0.85,0.07,0.17,0.27,1.12,0.01,0.02
TRPM4,0.00,0.00,-0.52,0.45,0.18,0.11,-0.43,0.32,-1.07,1.07,-0.62,0.75
CIB1,-0.30,0.50,-0.57,0.93,0.13,0.23,-0.23,0.38,-0.38,0.64,-0.34,0.60
ACTR5,-0.25,0.54,0.36,1.21,0.03,0.06,0.03,0.04,-0.19,0.54,-0.11,0.11
MAF1,0.38,0.69,0.16,0.33,0.01,0.04,0.33,0.79,0.20,0.49,0.27,0.55
RANGRF,0.10,0.11,-0.13,0.23,0.05,0.06,0.24,0.45,0.06,0.09,0.35,0.44
MRPS16,-0.35,2.47,-0.35,2.51,-0.03,0.16,-0.11,0.89,0.04,0.25,-0.34,2.26
FKBPL,0.62,1.23,0.16,0.36,0.60,1.76,0.30,0.65,0.05,0.10,0.37,0.95
DERL1,-0.27,0.63,-0.28,0.65,-0.06,0.12,-0.34,0.58,-0.62,1.44,-0.25,0.52
CHCHD2,0.06,0.18,0.32,0.99,0.42,1.25,0.29,0.55,0.42,0.82,0.60,1.68
VARS2,-0.50,0.63,-0.58,0.76,-0.37,0.38,-0.09,0.09,0.19,0.14,-0.71,0.89
SERF2,-0.11,0.49,-0.25,0.93,-0.13,0.51,-0.31,1.41,0.30,0.58,0.38,2.07
KDM1B,-0.25,1.22,0.04,0.14,0.14,0.62,0.06,0.15,0.12,0.35,0.29,1.53
RNASEH2C,-0.22,1.40,-0.15,1.08,-0.73,2.21,0.07,0.37,0.03,0.11,0.09,0.26
CDC37L1,-0.05,0.37,-0.01,0.05,0.39,1.37,0.15,0.33,0.12,0.34,0.24,0.95
SURF2,0.22,0.43,-0.12,0.25,0.17,0.35,0.08,0.21,0.07,0.16,0.08,0.30
NUBPL,0.17,0.20,0.49,1.12,-0.66,1.21,0.63,1.19,0.29,0.51,0.06,0.09
REEP3,0.32,1.77,0.57,2.79,0.68,3.31,-0.16,0.73,-0.08,0.33,0.32,1.73
ALG9,0.02,0.03,-0.03,0.04,-0.02,0.03,0.29,0.28,0.24,0.18,-0.01,0.01
VRK3,-0.30,0.26,0.45,0.36,0.40,0.55,0.03,0.03,0.22,0.22,0.47,0.41
TANK,-0.96,1.29,-0.40,0.46,-0.27,0.52,-0.15,0.21,0.37,0.55,0.55,1.30
MIS18BP1,0.30,0.53,0.32,0.36,0.32,0.73,0.13,0.20,0.15,0.24,0.41,1.23
STK32C,0.10,0.28,-0.14,0.42,0.19,0.62,0.28,0.88,0.15,0.49,0.12,0.38
NXT2,0.34,0.36,0.19,0.22,0.24,0.20,-0.05,0.05,0.26,0.21,0.35,0.34
TAF1C,0.39,1.14,-0.08,0.22,-0.08,0.22,-0.10,0.15,0.28,1.08,0.18,0.54
VPS26C,0.23,0.54,0.36,0.72,0.37,0.81,0.45,0.80,0.18,0.27,0.29,0.68
MED21,-0.06,0.11,-0.10,0.21,0.09,0.19,-0.17,0.36,-0.16,0.38,-0.07,0.12
ZFYVE9,0.20,0.31,-0.03,0.06,0.28,0.28,0.13,0.13,0.14,0.15,0.38,0.68
RSAD1,-0.90,0.87,-0.47,0.41,-0.44,0.34,0.51,0.51,-0.23,0.22,-0.35,0.23
GALNT12,-0.47,0.71,-1.11,1.48,-0.27,0.42,-0.34,0.48,-0.21,0.34,-0.22,0.27
FAM133B,0.06,0.08,0.23,0.48,-0.05,0.08,0.04,0.06,-0.19,0.33,0.20,0.41
RAD51AP1,0.46,1.24,0.62,1.44,0.62,1.27,0.14,0.14,-0.07,0.11,0.27,0.53
EMC4,0.26,0.74,0.17,0.56,0.14,0.50,-0.07,0.17,-0.16,0.55,-0.08,0.20
ZNF318,-0.55,1.25,-0.25,0.41,0.12,0.25,0.34,0.55,0.10,0.16,0.31,0.56
SH2D3A,0.13,0.11,-0.48,0.47,0.09,0.08,-0.01,0.01,-0.37,0.37,-0.16,0.15
EFNB1,0.51,0.89,-0.20,0.27,0.38,0.63,0.58,0.90,-0.29,0.34,0.23,0.29
MECR,-1.03,1.86,-0.80,1.78,-0.40,1.02,-0.25,0.70,-0.29,0.58,-0.63,1.57
R3HCC1,-0.19,0.13,-0.23,0.13,-0.02,0.01,-0.19,0.13,-0.07,0.03,0.07,0.04
MARVELD2,-0.17,0.15,-0.43,0.58,0.07,0.09,-0.33,0.43,-0.36,0.46,0.02,0.03
FUCA2,-0.19,0.72,-0.31,1.80,0.07,0.39,-0.31,1.70,-0.35,1.79,-0.28,1.02
ARL6IP1,0.41,2.09,0.26,1.18,0.20,1.27,-0.13,0.40,0.00,0.01,0.27,1.42
STX4,0.08,0.24,0.04,0.09,0.00,0.01,-0.07,0.20,0.01,0.02,-0.05,0.16
PRAF2,-0.29,1.05,0.24,1.10,-1.16,2.58,0.09,0.31,-0.05,0.13,-0.41,1.30
NDUFB11,-0.05,0.23,-0.19,1.99,-0.03,0.19,0.09,0.73,0.13,0.55,0.03,0.12
ADAT3,-0.01,0.01,-0.22,0.34,0.26,0.33,0.02,0.05,-0.58,1.28,-0.07,0.15
FYTTD1,-0.23,0.64,-0.13,0.31,0.21,0.82,-0.35,0.81,0.12,0.31,0.42,1.38
ZFP36L2,0.22,0.32,-0.39,0.90,0.00,0.01,0.12,0.13,-0.20,0.23,0.08,0.16
